  WIND-SMS-STICS H+, He+2, He+ fluxes for Telescopes 1,2,3
 ==========================================================
  Run time  14:13:52   24-SEP-99
  Output Filename: ahhe960901.dat             
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19960901_V01.DAT;1                              
  Clock selected: Wall     Trigger mode is (Tn.!E)+(Tn.En)       
  FIFO mode is OFF         TGS  mode is OFF
  Telemetry mode is Science mode     
  FILTERING CHOICES:
          Voltage step selection =   0 to 31
          Event type selection   =   M/Q & M
          Range selection        =     2 1 0
          Range checking is OFF
          Velocity range         =  240 to   1000
          Telescope checking is  ON
  Start Time:  19960901  00:00:00     End Time:  19960901  23:59:59
  Energy range = 10 - 30 keV/amu =>   H+   = DVS04-13 
                                      He+2 = DVS10-19 
                                      He+  = DVS16-25 
  Interval Start Time  
  YEAR DOY:HR:MN:SC    SPEED      H_Tel1     He2_Tel1    He1_Tel1     H_Tel2     He2_Tel2    He1_Tel2     H_Tel3     He2_Tel3    He1_Tel3 
  1996 245:04:06:54    448.3    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:10:07    446.8    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:13:20    443.9    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:16:34    442.2    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:19:47    438.7    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:23:00    442.8    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:26:13    446.4    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:29:27    443.6    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:32:40    446.4    0.0000E+00  1.4473E+01  0.0000E+00  2.2539E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:35:53    439.1    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.4473E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:39:06    440.7    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:42:20    441.0    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:04:45:33    441.0    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
