1994 356 03:48   39.11  -31.70   -2.09
1994 356 04:00   39.07  -31.62   -2.09
1994 356 04:12   39.02  -31.54   -2.08
1994 356 04:24   38.97  -31.46   -2.08
1994 356 04:36   38.93  -31.39   -2.08
1994 356 04:48   38.88  -31.31   -2.08
1994 356 05:00   38.84  -31.23   -2.08
1994 356 05:12   38.79  -31.15   -2.08
1994 356 05:24   38.74  -31.07   -2.08
1994 356 05:36   38.70  -30.99   -2.07
1994 356 05:48   38.65  -30.92   -2.07
1994 356 06:00   38.60  -30.84   -2.07
1994 356 06:12   38.56  -30.76   -2.07
1994 356 06:24   38.51  -30.68   -2.07
1994 356 06:36   38.46  -30.60   -2.07
1994 356 06:48   38.41  -30.52   -2.07
1994 356 07:00   38.36  -30.44   -2.06
1994 356 07:12   38.32  -30.36   -2.06
1994 356 07:24   38.27  -30.28   -2.06
1994 356 07:36   38.22  -30.20   -2.06
1994 356 07:48   38.17  -30.11   -2.06
1994 356 08:00   38.12  -30.03   -2.06
1994 356 08:12   38.07  -29.95   -2.06
1994 356 08:24   38.02  -29.87   -2.05
1994 356 08:36   37.97  -29.79   -2.05
1994 356 08:48   37.92  -29.70   -2.05
1994 356 09:00   37.87  -29.62   -2.05
1994 356 09:12   37.82  -29.54   -2.05
1994 356 09:24   37.76  -29.46   -2.05
1994 356 09:36   37.71  -29.37   -2.04
1994 356 09:48   37.66  -29.29   -2.04
1994 356 10:00   37.61  -29.21   -2.04
1994 356 10:12   37.56  -29.12   -2.04
1994 356 10:24   37.50  -29.04   -2.04
1994 356 10:36   37.45  -28.95   -2.04
1994 356 10:48   37.40  -28.87   -2.03
1994 356 11:00   37.35  -28.78   -2.03
1994 356 11:12   37.29  -28.70   -2.03
1994 356 11:24   37.24  -28.61   -2.03
1994 356 11:36   37.18  -28.53   -2.03
1994 356 11:48   37.13  -28.44   -2.03
1994 356 12:00   37.08  -28.36   -2.02
1994 356 12:12   37.02  -28.27   -2.02
1994 356 12:24   36.97  -28.18   -2.02
1994 356 12:36   36.91  -28.10   -2.02
1994 356 12:48   36.85  -28.01   -2.02
1994 356 13:00   36.80  -27.92   -2.01
1994 356 13:12   36.74  -27.84   -2.01
1994 356 13:24   36.69  -27.75   -2.01
1994 356 13:36   36.63  -27.66   -2.01
1994 356 13:48   36.57  -27.57   -2.01
1994 356 14:00   36.52  -27.48   -2.00
1994 356 14:12   36.46  -27.39   -2.00
1994 356 14:24   36.40  -27.31   -2.00
1994 356 14:36   36.34  -27.22   -2.00
1994 356 14:48   36.28  -27.13   -2.00
1994 356 15:00   36.22  -27.04   -1.99
1994 356 15:12   36.17  -26.95   -1.99
1994 356 15:24   36.11  -26.86   -1.99
1994 356 15:36   36.05  -26.77   -1.99
1994 356 15:48   35.99  -26.68   -1.99
1994 356 16:00   35.93  -26.58   -1.98
1994 356 16:12   35.87  -26.49   -1.98
1994 356 16:24   35.81  -26.40   -1.98
1994 356 16:36   35.75  -26.31   -1.98
1994 356 16:48   35.68  -26.22   -1.98
1994 356 17:00   35.62  -26.13   -1.97
1994 356 17:12   35.56  -26.03   -1.97
1994 356 17:24   35.50  -25.94   -1.97
1994 356 17:36   35.44  -25.85   -1.97
1994 356 17:48   35.37  -25.75   -1.96
1994 356 18:00   35.31  -25.66   -1.96
1994 356 18:12   35.25  -25.57   -1.96
1994 356 18:24   35.18  -25.47   -1.96
1994 356 18:36   35.12  -25.38   -1.95
1994 356 18:48   35.06  -25.28   -1.95
1994 356 19:00   34.99  -25.19   -1.95
1994 356 19:12   34.93  -25.09   -1.95
1994 356 19:24   34.86  -25.00   -1.94
1994 356 19:36   34.80  -24.90   -1.94
1994 356 19:48   34.73  -24.81   -1.94
1994 356 20:00   34.66  -24.71   -1.94
1994 356 20:12   34.60  -24.61   -1.93
1994 356 20:24   34.53  -24.52   -1.93
1994 356 20:36   34.46  -24.42   -1.93
1994 356 20:48   34.40  -24.32   -1.93
1994 356 21:00   34.33  -24.23   -1.92
1994 356 21:12   34.26  -24.13   -1.92
1994 356 21:24   34.19  -24.03   -1.92
1994 356 21:36   34.12  -23.93   -1.92
1994 356 21:48   34.05  -23.83   -1.91
1994 356 22:00   33.98  -23.73   -1.91
1994 356 22:12   33.91  -23.63   -1.91
1994 356 22:24   33.84  -23.53   -1.91
1994 356 22:36   33.77  -23.43   -1.90
